rank,weeks_on_list,primary_isbn10,primary_isbn13,publisher,title,author,date
1,81,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-04-07
2,1,1538748142,9781538748145,Grand Central,THE BOY FROM THE WOODS,Harlan Coben,2020-04-07
3,9,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-04-07
4,2,0805096604,9780805096606,Holt,THE MIRROR & THE LIGHT,Hilary Mantel,2020-04-07
5,1,0593128400,9780593128404,Del Rey,STAR WARS: THE RISE OF SKYWALKER,Rae Carson,2020-04-07
6,1,0440001552,9780440001553,Ace,SMOKE BITTEN,Patricia Briggs,2020-04-07
7,2,1982137444,9781982137441,Atria,IN FIVE YEARS,Rebecca Serle,2020-04-07
8,4,0316420336,9780316420334,"Little, Brown",BLINDSIDE,James Patterson and James O Born,2020-04-07
9,2,0593083083,9780593083086,Putnam,JOURNEY OF THE PHARAOHS,Clive Cussler and Graham Brown,2020-04-07
10,2,006294150X,9780062941503,Morrow,MY DARK VANESSA,Kate Elizabeth Russell,2020-04-07
11,42,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-04-07
12,3,1635574048,9781635574043,Bloomsbury,HOUSE OF EARTH AND BLOOD,Sarah J Maas,2020-04-07
13,3,0525538232,9780525538233,Putnam,LONG RANGE,CJ Box,2020-04-07
14,23,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-04-07
15,26,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-04-07
1,1,0805096604,9780805096606,Holt,THE MIRROR & THE LIGHT,Hilary Mantel,2020-03-31
2,80,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-03-31
3,1,0593083083,9780593083086,Putnam,JOURNEY OF THE PHARAOHS,Clive Cussler and Graham Brown,2020-03-31
4,8,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-03-31
5,1,1250237270,9781250237279,St. Martin's,A GOOD NEIGHBORHOOD,Therese Anne Fowler,2020-03-31
6,1,006294150X,9780062941503,Morrow,MY DARK VANESSA,Kate Elizabeth Russell,2020-03-31
7,2,1635574048,9781635574043,Bloomsbury,HOUSE OF EARTH AND BLOOD,Sarah J Maas,2020-03-31
8,2,0525538232,9780525538233,Putnam,LONG RANGE,CJ Box,2020-03-31
9,3,0316420336,9780316420334,"Little, Brown",BLINDSIDE,James Patterson and James O Born,2020-03-31
10,2,0399179569,9780399179563,Delacorte,THE NUMBERS GAME,Danielle Steel,2020-03-31
11,1,1982137444,9781982137441,Atria,IN FIVE YEARS,Rebecca Serle,2020-03-31
12,41,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-03-31
13,25,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-03-31
14,11,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-03-31
15,2,073521672X,9780735216723,Riverhead,DEACON KING KONG,James McBride,2020-03-31
1,1,1635574048,9781635574043,Bloomsbury,HOUSE OF EARTH AND BLOOD,Sarah J Maas,2020-03-24
2,1,0525538232,9780525538233,Putnam,LONG RANGE,CJ Box,2020-03-24
3,79,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-03-24
4,1,0399179569,9780399179563,Delacorte,THE NUMBERS GAME,Danielle Steel,2020-03-24
5,7,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-03-24
6,2,0316420336,9780316420334,"Little, Brown",BLINDSIDE,James Patterson and James O Born,2020-03-24
7,1,1250202035,9781250202031,St. Martin's,YOU ARE NOT ALONE,Greer Hendricks and Sarah Pekkanen,2020-03-24
8,1,0802148530,9780802148537,Grove,WRITERS & LOVERS,Lily King,2020-03-24
9,40,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-03-24
10,1,0062671189,9780062671189,Harper,THE NIGHT WATCHMAN,Louise Erdrich,2020-03-24
11,1,039918189X,9780399181894,Ballantine,THE JETSETTERS,Amanda Eyre Ward,2020-03-24
12,10,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-03-24
13,24,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-03-24
14,1,073521672X,9780735216723,Riverhead,DEACON KING KONG,James McBride,2020-03-24
15,22,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-03-24
1,1,0316420336,9780316420334,"Little, Brown",BLINDSIDE,James Patterson and James O Born,2020-03-17
2,78,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-03-17
3,6,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-03-17
4,1,1250140307,9781250140302,Minotaur,THE WARSAW PROTOCOL,Steve Berry,2020-03-17
5,39,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-03-17
6,1,1496718895,9781496718891,Kensington,COCONUT LAYER CAKE MURDER,Joanne Fluke,2020-03-17
7,1,1400069602,9781400069606,Random House,APEIROGON,Colum McCann,2020-03-17
8,23,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-03-17
9,9,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-03-17
10,21,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-03-17
11,4,1250207207,9781250207203,St. Martin's,GOLDEN IN DEATH,JD Robb,2020-03-17
12,6,198482015X,9781984820150,Ballantine,A LONG PETAL OF THE SEA,Isabel Allende,2020-03-17
13,20,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-03-17
14,4,1538747251,9781538747254,Grand Central,CROOKED RIVER,Douglas Preston and Lincoln Child,2020-03-17
15,8,198485478X,9781984854780,Dial,DEAR EDWARD,Ann Napolitano,2020-03-17
1,77,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-03-10
2,5,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-03-10
3,38,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-03-10
4,1,0593098919,9780593098912,Berkley,ONE MINUTE OUT,Mark Greaney,2020-03-10
5,3,1250207207,9781250207203,St. Martin's,GOLDEN IN DEATH,JD Robb,2020-03-10
6,22,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-03-10
7,8,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-03-10
8,5,198482015X,9781984820150,Ballantine,A LONG PETAL OF THE SEA,Isabel Allende,2020-03-10
9,19,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-03-10
10,20,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-03-10
11,1,0440000173,9780440000174,Berkley,THE SUN DOWN MOTEL,Simone St James,2020-03-10
12,3,1538747251,9781538747254,Grand Central,CROOKED RIVER,Douglas Preston and Lincoln Child,2020-03-10
13,1,0778369110,9780778369110,Park Row,THE OTHER MRS.,Mary Kubica,2020-03-10
14,1,039959177X,9780399591778,Random House,THE HOLDOUT,Graham Moore,2020-03-10
15,7,198485478X,9781984854780,Dial,DEAR EDWARD,Ann Napolitano,2020-03-10
1,76,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-03-03
2,4,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-03-03
3,2,1250207207,9781250207203,St. Martin's,GOLDEN IN DEATH,JD Robb,2020-03-03
4,37,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-03-03
5,21,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-03-03
6,2,1538747251,9781538747254,Grand Central,CROOKED RIVER,Douglas Preston and Lincoln Child,2020-03-03
7,18,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-03-03
8,7,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-03-03
9,4,198482015X,9781984820150,Ballantine,A LONG PETAL OF THE SEA,Isabel Allende,2020-03-03
10,1,0385351100,9780385351102,Knopf,WEATHER,Jenny Offill,2020-03-03
11,19,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-03-03
12,6,198485478X,9781984854780,Dial,DEAR EDWARD,Ann Napolitano,2020-03-03
13,5,0316420328,9780316420327,"Little, Brown",LOST,James Patterson and James O Born,2020-03-03
14,22,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2020-03-03
15,3,1524745006,9781524745004,Dutton,WHEN YOU SEE ME,Lisa Gardner,2020-03-03
1,3,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-02-25
2,1,1250207207,9781250207203,St. Martin's,GOLDEN IN DEATH,JD Robb,2020-02-25
3,1,1538747251,9781538747254,Grand Central,CROOKED RIVER,Douglas Preston and Lincoln Child,2020-02-25
4,75,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-02-25
5,1,052561852X,9780525618522,Ballantine,THE MUSEUM OF DESIRE,Jonathan Kellerman,2020-02-25
6,6,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-02-25
7,36,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-02-25
8,4,0316420328,9780316420327,"Little, Brown",LOST,James Patterson and James O Born,2020-02-25
9,20,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-02-25
10,1,1524746029,9781524746025,Dutton,THE GIRL WITH THE LOUDING VOICE,Abi Daré,2020-02-25
11,5,198485478X,9781984854780,Dial,DEAR EDWARD,Ann Napolitano,2020-02-25
12,17,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-02-25
13,18,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-02-25
14,3,198482015X,9781984820150,Ballantine,A LONG PETAL OF THE SEA,Isabel Allende,2020-02-25
15,2,1524745006,9781524745004,Dutton,WHEN YOU SEE ME,Lisa Gardner,2020-02-25
1,2,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-02-18
2,74,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-02-18
3,1,1524745006,9781524745004,Dutton,WHEN YOU SEE ME,Lisa Gardner,2020-02-18
4,3,0316420328,9780316420327,"Little, Brown",LOST,James Patterson and James O Born,2020-02-18
5,4,198485478X,9781984854780,Dial,DEAR EDWARD,Ann Napolitano,2020-02-18
6,35,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-02-18
7,5,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-02-18
8,19,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-02-18
9,2,198482015X,9781984820150,Ballantine,A LONG PETAL OF THE SEA,Isabel Allende,2020-02-18
10,16,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-02-18
11,4,0525540679,9780525540670,Riverhead,LONG BRIGHT RIVER,Liz Moore,2020-02-18
12,17,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-02-18
13,21,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2020-02-18
14,4,0399179534,9780399179532,Delacorte,MORAL COMPASS,Danielle Steel,2020-02-18
15,11,1538761602,9781538761601,Grand Central,A MINUTE TO MIDNIGHT,David Baldacci,2020-02-18
1,1,1250209765,9781250209764,Flatiron,AMERICAN DIRT,Jeanine Cummins,2020-02-11
2,73,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-02-11
3,2,0316420328,9780316420327,"Little, Brown",LOST,James Patterson and James O Born,2020-02-11
4,4,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-02-11
5,3,198485478X,9781984854780,Dial,DEAR EDWARD,Ann Napolitano,2020-02-11
6,34,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-02-11
7,15,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-02-11
8,1,198482015X,9781984820150,Ballantine,A LONG PETAL OF THE SEA,Isabel Allende,2020-02-11
9,18,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-02-11
10,1,110198693X,9781101986936,Berkley,AGENCY,William Gibson,2020-02-11
11,3,0525540679,9780525540670,Riverhead,LONG BRIGHT RIVER,Liz Moore,2020-02-11
12,16,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-02-11
13,3,0399179534,9780399179532,Delacorte,MORAL COMPASS,Danielle Steel,2020-02-11
14,20,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2020-02-11
15,10,1538761602,9781538761601,Grand Central,A MINUTE TO MIDNIGHT,David Baldacci,2020-02-11
1,72,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-02-04
2,1,0316420328,9780316420327,"Little, Brown",LOST,James Patterson and James O Born,2020-02-04
3,2,198485478X,9781984854780,Dial,DEAR EDWARD,Ann Napolitano,2020-02-04
4,3,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-02-04
5,14,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-02-04
6,2,0399179534,9780399179532,Delacorte,MORAL COMPASS,Danielle Steel,2020-02-04
7,17,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-02-04
8,33,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-02-04
9,15,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-02-04
10,2,0525540679,9780525540670,Riverhead,LONG BRIGHT RIVER,Liz Moore,2020-02-04
11,19,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2020-02-04
12,9,1538761602,9781538761601,Grand Central,A MINUTE TO MIDNIGHT,David Baldacci,2020-02-04
13,14,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2020-02-04
14,12,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2020-02-04
15,8,0316526886,9780316526883,"Little, Brown",CRISS CROSS,James Patterson,2020-02-04
1,71,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-01-28
2,1,198485478X,9781984854780,Dial,DEAR EDWARD,Ann Napolitano,2020-01-28
3,1,0399179534,9780399179532,Delacorte,MORAL COMPASS,Danielle Steel,2020-01-28
4,2,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-01-28
5,13,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-01-28
6,1,0525540679,9780525540670,Riverhead,LONG BRIGHT RIVER,Liz Moore,2020-01-28
7,32,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-01-28
8,16,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-01-28
9,14,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-01-28
10,1,0593083199,9780593083192,Putnam,TREASON,Stuart Woods,2020-01-28
11,18,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2020-01-28
12,7,0316526886,9780316526883,"Little, Brown",CRISS CROSS,James Patterson,2020-01-28
13,11,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2020-01-28
14,8,1538761602,9781538761601,Grand Central,A MINUTE TO MIDNIGHT,David Baldacci,2020-01-28
15,13,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2020-01-28
1,70,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-01-21
2,12,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-01-21
3,1,052554190X,9780525541905,Putnam,SUCH A FUN AGE,Kiley Reid,2020-01-21
4,31,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-01-21
5,15,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-01-21
6,6,0316526886,9780316526883,"Little, Brown",CRISS CROSS,James Patterson,2020-01-21
7,17,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2020-01-21
8,13,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-01-21
9,7,1538761602,9781538761601,Grand Central,A MINUTE TO MIDNIGHT,David Baldacci,2020-01-21
10,10,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2020-01-21
11,14,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2020-01-21
12,16,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2020-01-21
13,12,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2020-01-21
14,9,038554121X,9780385541213,Doubleday,THE STARLESS SEA,Erin Morgenstern,2020-01-21
15,8,0399180192,9780399180194,Putnam,TWISTED TWENTY-SIX,Janet Evanovich,2020-01-21
1,69,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-01-14
2,11,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-01-14
3,16,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2020-01-14
4,5,0316526886,9780316526883,"Little, Brown",CRISS CROSS,James Patterson,2020-01-14
5,15,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2020-01-14
6,9,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2020-01-14
7,6,1538761602,9781538761601,Grand Central,A MINUTE TO MIDNIGHT,David Baldacci,2020-01-14
8,13,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2020-01-14
9,7,0399180192,9780399180194,Putnam,TWISTED TWENTY-SIX,Janet Evanovich,2020-01-14
10,14,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-01-14
11,30,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-01-14
12,11,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2020-01-14
13,3,0525541721,9780525541721,Putnam,TOM CLANCY: CODE OF HONOR,Marc Cameron,2020-01-14
14,12,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-01-14
15,8,038554121X,9780385541213,Doubleday,THE STARLESS SEA,Erin Morgenstern,2020-01-14
1,68,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2020-01-07
2,10,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2020-01-07
3,15,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2020-01-07
4,4,0316526886,9780316526883,"Little, Brown",CRISS CROSS,James Patterson,2020-01-07
5,8,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2020-01-07
6,5,1538761602,9781538761601,Grand Central,A MINUTE TO MIDNIGHT,David Baldacci,2020-01-07
7,13,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2020-01-07
8,6,0399180192,9780399180194,Putnam,TWISTED TWENTY-SIX,Janet Evanovich,2020-01-07
9,29,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2020-01-07
10,14,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2020-01-07
11,12,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2020-01-07
12,10,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2020-01-07
13,11,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2020-01-07
14,7,038554121X,9780385541213,Doubleday,THE STARLESS SEA,Erin Morgenstern,2020-01-07
15,2,0525541721,9780525541721,Putnam,TOM CLANCY: CODE OF HONOR,Marc Cameron,2020-01-07
1,67,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-12-31
2,9,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2019-12-31
3,3,0316526886,9780316526883,"Little, Brown",CRISS CROSS,James Patterson,2019-12-31
4,14,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-12-31
5,4,1538761602,9781538761601,Grand Central,A MINUTE TO MIDNIGHT,David Baldacci,2019-12-31
6,12,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-12-31
7,7,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2019-12-31
8,5,0399180192,9780399180194,Putnam,TWISTED TWENTY-SIX,Janet Evanovich,2019-12-31
9,13,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-12-31
10,9,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2019-12-31
11,28,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2019-12-31
12,10,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2019-12-31
13,3,1250123038,9781250123039,St. Martin's,THE RISE OF MAGICKS,Nora Roberts,2019-12-31
14,11,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2019-12-31
15,6,038554121X,9780385541213,Doubleday,THE STARLESS SEA,Erin Morgenstern,2019-12-31
1,8,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2019-12-24
2,66,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-12-24
3,2,0316526886,9780316526883,"Little, Brown",CRISS CROSS,James Patterson,2019-12-24
4,13,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-12-24
5,3,1538761602,9781538761601,Grand Central,A MINUTE TO MIDNIGHT,David Baldacci,2019-12-24
6,6,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2019-12-24
7,4,0399180192,9780399180194,Putnam,TWISTED TWENTY-SIX,Janet Evanovich,2019-12-24
8,2,1250123038,9781250123039,St. Martin's,THE RISE OF MAGICKS,Nora Roberts,2019-12-24
9,11,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-12-24
10,12,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-12-24
11,8,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2019-12-24
12,2,0399179445,9780399179440,Delacorte,SPY,Danielle Steel,2019-12-24
13,9,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2019-12-24
14,10,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2019-12-24
15,5,038554121X,9780385541213,Doubleday,THE STARLESS SEA,Erin Morgenstern,2019-12-24
1,1,1250123038,9781250123039,St. Martin's,THE RISE OF MAGICKS,Nora Roberts,2019-12-17
2,7,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2019-12-17
3,65,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-12-17
4,1,0316526886,9780316526883,"Little, Brown",CRISS CROSS,James Patterson,2019-12-17
5,2,1538761602,9781538761601,Grand Central,A MINUTE TO MIDNIGHT,David Baldacci,2019-12-17
6,12,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-12-17
7,3,0399180192,9780399180194,Putnam,TWISTED TWENTY-SIX,Janet Evanovich,2019-12-17
8,5,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2019-12-17
9,11,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-12-17
10,1,0399179445,9780399179440,Delacorte,SPY,Danielle Steel,2019-12-17
11,10,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-12-17
12,7,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2019-12-17
13,8,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2019-12-17
14,4,038554121X,9780385541213,Doubleday,THE STARLESS SEA,Erin Morgenstern,2019-12-17
15,6,0316485616,9780316485616,"Little, Brown",THE NIGHT FIRE,Michael Connelly,2019-12-17
1,1,1538761602,9781538761601,Grand Central,A MINUTE TO MIDNIGHT,David Baldacci,2019-12-10
2,64,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-12-10
3,6,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2019-12-10
4,2,0399180192,9780399180194,Putnam,TWISTED TWENTY-SIX,Janet Evanovich,2019-12-10
5,4,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2019-12-10
6,1,0525541721,9780525541721,Putnam,TOM CLANCY: CODE OF HONOR,Marc Cameron,2019-12-10
7,9,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-12-10
8,5,0316485616,9780316485616,"Little, Brown",THE NIGHT FIRE,Michael Connelly,2019-12-10
9,11,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-12-10
10,6,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2019-12-10
11,9,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2019-12-10
12,7,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2019-12-10
13,3,038554121X,9780385541213,Doubleday,THE STARLESS SEA,Erin Morgenstern,2019-12-10
14,10,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-12-10
15,7,0316420271,9780316420273,"Little, Brown",THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,2019-12-10
1,1,0399180192,9780399180194,Putnam,TWISTED TWENTY-SIX,Janet Evanovich,2019-12-03
2,5,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2019-12-03
3,3,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2019-12-03
4,63,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-12-03
5,4,0316485616,9780316485616,"Little, Brown",THE NIGHT FIRE,Michael Connelly,2019-12-03
6,8,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-12-03
7,5,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2019-12-03
8,10,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-12-03
9,2,038554121X,9780385541213,Doubleday,THE STARLESS SEA,Erin Morgenstern,2019-12-03
10,6,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2019-12-03
11,9,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-12-03
12,6,0316420271,9780316420273,"Little, Brown",THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,2019-12-03
13,1,0062473271,9780062473271,Harper,MICHAEL CRICHTON: THE ANDROMEDA EVOLUTION,Daniel H Wilson,2019-12-03
14,8,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2019-12-03
15,1,0062913468,9780062913463,Ecco,NOTHING TO SEE HERE,Kevin Wilson,2019-12-03
1,2,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2019-11-26
